Model,Network Type,GPRS,Year,Month,Height,Breadth,Width,Weight,Sim,Screen,Screen Size,Resolution_X,Resolution_Y,OS,Chipset,Cores,GPU,External Memory,Hard Disk,Main Memory,GPS,USB Type,Battery Size,NFC,Wifi,Radio,Fingerprint,Accelerometer,Gyroscope,Proximity
Samsung V,5,1,2003,1,91,47,23,96,1,TFD,-,128,160,-,-,-,-,0,-,-,0,-,720,0,No,0,-,-,-,-
Samsung X,5,1,2003,1,102,43,20,80,1,UFB,-,128,128,-,-,-,-,0,-,-,0,-,900,0,No,0,-,-,-,-
Samsung Watch Phone,5,1,2003,1,38,64,17,80,1,OLED,-,94,64,Proprietary OS,-,-,-,0,-,-,0,-,400,0,No,0,-,-,-,-
Motorola MPx,5,1,2003,1,89,48,27,118,1,TFT,2.2,176,220,-,TI OMAP,1,-,1,-,-,0,0,860,0,No,0,-,-,-,-
Motorola V,5,1,2003,1,85.5,44,24,100,1,CSTN,-,128,128,-,-,-,-,0,-,-,0,0,860,0,No,0,-,-,-,-
Motorola E,5,1,2003,1,107,45,20,93,1,TFT,-,128,160,-,-,-,-,0,-,-,0,-,750,0,No,0,-,-,-,-
Motorola V,5,1,2003,1,89,49,24.8,122,1,TFT,-,176,220,-,-,-,-,0,-,-,0,0,700,0,No,0,-,-,-,-
Motorola V,5,1,2003,10,88,48,24,115,1,TFT,-,176,220,-,-,-,-,0,-,-,0,0,700,0,No,0,-,-,-,-
Samsung D,5,1,2004,1,93.5,45.7,23.5,99,1,TFT,1.9,176,220,-,-,-,-,0,-,-,0,0,800,0,No,0,-,-,-,-
Motorola RAZR V,5,1,2004,1,98,53,13.9,95,1,TFT,2.2,176,220,-,-,-,-,0,-,-,0,0,680,0,No,0,-,-,-,-
Motorola C,5,0,2004,1,98,45,21,81,1,-,-,96,64,-,-,-,-,0,-,-,0,-,860,0,No,0,-,-,-,-
Motorola E,5,1,2004,1,108,46,21,108,1,TFT,1.9,176,220,-,-,-,-,1,-,-,0,0,830,0,No,0,-,-,-,-
Motorola E,5,1,2004,1,109,53.8,20.5,133,1,TFT,2.5,240,320,Linux,-,1,-,0,-,-,0,0,780,0,No,1,-,-,-,-
Samsung D,5,1,2005,1,96,46.5,21.5,103,1,TFT,2,240,320,-,-,-,-,1,-,-,0,0,950,0,No,0,-,-,-,-
Samsung P,5,1,2005,1,86,54,8.9,85,1,TFT,1.8,220,176,-,-,-,-,0,-,-,0,0,800,0,No,0,-,-,-,-
Motorola V,65,1,2005,1,99,55,20,125,1,TFT,2.2,240,320,-,-,-,-,2,-,-,0,0,840,0,No,0,-,-,-,-
Motorola L,5,1,2005,1,113,49,10.9,86,1,CSTN,2,128,160,-,-,-,-,0,-,-,0,0,820,0,No,0,-,-,-,-
Motorola SLVR L,5,1,2005,1,113,49,11.5,96,1,TFT,1.9,176,220,-,-,-,-,1,-,-,0,0,820,0,No,0,-,-,-,-
Motorola C,5,0,2005,1,101,45.7,21.5,86,1,-,-,96,64,-,-,-,-,0,-,-,0,0,920,0,No,0,-,-,-,-
Motorola V,5,1,2005,1,90,47,24,104,1,TFT,1.9,176,220,-,-,-,-,0.512,-,-,0,0,810,0,No,0,-,-,-,-
Motorola PEBL U,5,1,2005,1,86.5,49,20,110,1,TFT,1.8,176,220,-,-,-,-,0,-,-,0,0,820,0,No,0,-,-,-,-
Motorola L,5,1,2005,1,113,49,11,86,1,CSTN,1.8,128,160,-,-,-,-,0,-,-,0,0,820,0,No,0,-,-,-,-
Motorola C,5,0,2005,1,101.3,45.7,21.5,86,1,-,-,96,64,-,-,-,-,0,-,-,0,-,920,0,No,0,-,-,-,-
Motorola Q,5,1,2005,7,116,64,11.5,115,1,TFT,2.4,320,240,Windows 6.0,-,1,-,0.128,-,-,0,0,1170,0,No,0,-,-,-,-
Motorola ROKR E,5,1,2005,9,108,46,20.5,107,1,TFT,1.9,176,220,-,-,-,-,0.512,-,-,0,1.1,830,0,No,0,-,-,-,-
Motorola RAZR V,5,1,2005,11,98,53,13.9,100,1,TFT,2.2,176,220,-,-,-,-,0,-,-,0,0,710,0,No,0,-,-,-,-
Motorola A,5,1,2005,12,95.7,51.7,21.5,122,1,TFT,2.4,240,320,Linux,-,1,-,0,-,-,0,0,850,0,No,1,-,-,-,-
Motorola W,5,1,2006,2,95,46,16.7,93,1,CSTN,1.6,128,128,-,-,-,-,0,-,-,0,0,880,0,No,1,-,-,-,-
Samsung E,5,1,2006,3,93,45,16.5,93,1,TFT,2,240,320,-,-,-,-,0,-,-,0,0,800,0,No,0,-,-,-,-
Samsung X,5,1,2006,5,113,50,6.9,66,1,TFT,1.8,220,176,-,-,-,-,0,-,-,0,0,630,0,No,0,-,-,-,-
Samsung D,5,1,2006,6,103.5,51,12.9,85,1,TFT,2.1,240,320,-,-,-,-,0,-,-,0,1.1,800,0,No,0,-,-,-,-
