Model,Network Type,GPRS,Year,Month,Height,Breadth,Width,Weight,Sim,Screen,Screen Size,Resolution_X,Resolution_Y,OS,Chipset,Cores,GPU,External Memory,Hard Disk,Main Memory,GPS,USB Type,Battery Size,NFC,Wifi,Radio,Fingerprint,Accelerometer,Gyroscope,Proximity
Samsung Vibrant,35,1,2010,8,122.4,64.5,9.9,117.9,1,Super AMOLED,4,480,800,Android 2.1,Hummingbird,1,PowerVR SGX540,32,16,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Motorola DROID,6,0,2010,8,116.3,60.5,13.7,169,1,TFT,3.7,480,854,Android 2.2,-,1,-,32,-,-,2,2,1400,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung Epic,42,1,2010,9,124,65,14,155,1,Super AMOLED,4,480,800,Android 2.1,Hummingbird,1,PowerVR SGX540,32,0.5,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung P,35,1,2010,10,190.1,120.5,12,380,1,TFT,7,600,1024,Android 2.2,Hummingbird,1,PowerVR SGX540,32,16,0.5,2,2,4000,0,Wi-Fi 802.11 b/g/n,0,0,1,1,0
Samsung S,5,1,2010,10,109.5,55,11.9,100,1,TFT,3.2,240,400,Bada OS,-,-,-,16,-,-,2,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Samsung Xcover,65,1,2010,10,120.7,53,17.9,115,1,TFT,2,240,320,-,-,-,-,0,-,-,2,0,1300,0,No,1,0,0,0,0
Samsung I,35,1,2010,10,122.4,64.2,11,138.2,1,Super AMOLED,4,480,800,Windows 7,Qualcomm QSD8250,1,Adre0 200,0,-,-,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung I,30,1,2010,10,123,64.2,10.8,123,1,Super AMOLED,4,480,800,Android 2.1,Hummingbird,1,PowerVR SGX540,32,-,-,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola DEFY,35,1,2010,10,107,59,13.4,118,1,TFT,3.7,480,854,Android 2.1,TI OMAP,1,PowerVR SGX530,32,2,0.5,2,2,1540,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola MILESTONE,35,1,2010,10,116.3,60.5,13.7,169,1,TFT,3.7,480,854,Android 2.2,TI OMAP,1,PowerVR SGX530,32,8,0.5,2,2,1400,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung S,35,1,2010,11,123.9,59.8,11.8,135,1,TFT,3.7,480,800,Bada 1.2,Hummingbird,1,PowerVR SGX540,32,-,-,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Ch@t,5,1,2010,11,109.5,60,12.3,95,2,TFT,2.2,220,176,-,-,-,-,8,-,-,0,2,1000,0,No,1,-,-,-,-
Motorola DROID PRO XT,210,1,2010,11,119,60,11.7,134,1,TFT,3.1,320,480,Android 2.2,TI OMAP3620,1,PowerVR SGX530,32,2,0.5,2,2,1420,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Motorola DROID,210,1,2010,11,116.3,60.5,13.7,173,1,TFT,3.7,480,854,Android 2.2,TI OMAP,1,PowerVR SGX530,32,8,0.5,2,2,1420,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung Google Nexus S,35,1,2010,12,123.9,63,10.9,129,1,Super AMOLED,4,480,800,Android 2.3,Hummingbird,1,PowerVR SGX540,0,16,0.5,2,2,1500,1,Wi-Fi 802.11 b/g/n,0,0,1,1,1
Samsung Ch@t,5,1,2010,12,111.2,61.2,12,93,1,TFT,2.4,320,240,-,-,-,-,8,-,-,0,2,-,0,Wi-Fi 802.11 b/g,1,-,-,-,-
Samsung Galaxy Ace S,35,1,2011,1,112.4,59.9,11.5,113,1,TFT,3.5,320,480,Android 2.2,Broadcom BCM21553,1,VideoCore IV,32,-,-,2,2,1350,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung I,35,1,2011,1,125.3,66.1,8.5,116,1,Super AMOLED,4.3,480,800,Android 2.3.4,TI OMAP,2,PowerVR SGX540,64,16,1,2,2,1650,1,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Samsung Galaxy Y Pro Duos B,35,1,2011,1,110.8,63.5,11.9,112.3,2,TFT,2.6,320,240,Android 2.3,-,1,-,32,-,-,2,2,1350,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung E,5,1,2011,1,109.2,46,14.9,79,2,TFT,1.77,128,160,-,-,-,-,8,-,-,0,2,1000,0,No,1,-,-,-,-
Samsung W,30,1,2011,1,111,59,17.8,206,1,Super AMOLED,3.5,480,800,Android 2.3,Qualcomm MSM8660,2,Adre0 220,32,-,-,2,2,1500,0,Wi-Fi 802.11 b/g/n,-,0,1,0,1
Motorola EX,5,1,2011,1,106,53,13.9,105,2,TFT,2.4,240,320,-,-,-,-,16,-,-,0,2,750,0,No,1,-,-,-,-
Motorola Fire,35,1,2011,1,116.5,58,13.5,110,2,TFT,2.8,240,320,Android 2.3,-,-,-,32,-,-,2,2,1400,0,Wi-Fi 802.11 b/g/n,1,-,1,0,1
Samsung Galaxy Ace S,35,1,2011,2,112.4,59.9,11.5,113,1,TFT,3.5,320,480,Android 2.3,Qualcomm MSM7227,1,Adre0 200,32,0.154296875,0.271484375,2,2,1350,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Mini S,35,1,2011,2,110.4,60.8,12.1,105,1,TFT,3.14,240,320,Android 2.2,Qualcomm MSM7227,1,Adre0 200,32,0.15625,0.375,2,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Y Duos S,35,1,2011,2,109.8,60,12,109,2,TFT,3.14,240,320,Android 2.3,-,1,-,32,-,-,2,2,1300,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung I,35,1,2011,2,123.7,64.2,10.6,131,1,TFT,4,480,800,Android 2.2,TI OMAP,1,PowerVR SGX530,32,4,0.466796875,2,2,1650,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy S,35,1,2011,2,122.4,64.5,9.9,118,1,Super AMOLED,4,480,800,Android 2.2,Hummingbird,1,PowerVR SGX540,32,1,0.5,2,2,1650,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung S,5,1,2011,2,107.5,54,12.4,94,1,TFT,3,240,400,-,-,-,-,16,-,-,0,2,1000,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Apple iPhone,6,0,2011,2,115.2,58.6,9.3,137,1,IPS LCD,3.5,640,960,iOS 4,Apple A4,1,PowerVR SGX535,0,16,0.5,2,2,1420,0,Wi-Fi 802.11 b/g/n,0,0,1,1,1
Motorola ATRIX,35,1,2011,2,117.8,63.5,11,135,1,TFT,4,540,960,Android 2.3,Nvidia Tegra,2,ULP GeForce,32,16,1,2,2,1930,0,Wi-Fi 802.11 a/b/g/n,0,1,1,0,1
Samsung Galaxy Fit S,35,1,2011,3,110.2,61.2,12.6,108,1,TFT,3.3,240,320,Android 2.2,-,1,-,32,0.15625,0.2734375,2,2,1350,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Gio S,35,1,2011,3,110.5,57.5,12.2,102,1,TFT,3.2,320,480,Android 2.2,Qualcomm QCT,1,Adre0 200,32,0.154296875,0.271484375,2,2,1350,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung P,0,0,2011,3,190.1,120.5,12,380,0,TFT,7,600,1024,Android 2.2,TI OMAP,1,PowerVR SGX530,32,16,0.578125,0,2,4000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Apple iPad,35,1,2011,3,241.2,185.7,8.8,607,1,IPS LCD,9.7,768,1024,iOS 4,Apple A5,2,PowerVR SGX543,0,16,0.5,2,2,6930,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Apple iPad,0,0,2011,3,241.2,185.7,8.8,601,0,IPS LCD,9.7,768,1024,iOS 4,Apple A5,2,PowerVR SGX543,0,16,0.5,0,2,6930,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Apple iPad,6,0,2011,3,241.2,185.7,8.8,607,1,IPS LCD,9.7,768,1024,iOS 4,Apple A5,2,PowerVR SGX543,0,16,0.5,2,2,6930,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Motorola XOOM MZ,35,1,2011,3,249.1,167.8,12.9,730,1,TFT,10.1,800,1280,Android 3.0,Nvidia Tegra,2,ULP GeForce,32,16,1,2,2,-,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Motorola MOTO XT,35,1,2011,3,117.7,60.5,9.9,123.6,1,TFT,4,480,854,Android 2.3.7,Qualcomm MSM7227A,1,Adre0 200,32,1,0.5,2,2,1390,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola XOOM MZ,66,0,2011,3,249.1,167.8,12.9,730,1,TFT,10.1,800,1280,Android 3.0,Nvidia Tegra,2,ULP GeForce,32,16,1,2,2,-,0,Wi-Fi 802.11 b/g/n,0,0,1,1,0
Samsung I,35,1,2011,4,125.3,66.1,8.5,116,1,Super AMOLED,4.3,480,800,Android 2.3.4,Exy0s 4210,2,Mali 400,32,16,1,2,2,1650,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung C,5,1,2011,4,114,48,13.9,89,2,TFT,2.2,240,320,-,-,-,-,16,-,-,0,2,1000,0,No,1,-,-,-,-
Samsung S,5,1,2011,4,109.9,60.6,11.7,102,1,TFT,3.2,240,320,TouchWiz UI,-,-,-,16,-,-,0,2,1000,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Samsung Galaxy Pro B,35,1,2011,4,108.6,66.7,10.7,103.4,1,TFT,2.8,320,240,Android 2.2.2,-,1,-,32,-,-,2,2,1350,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Google Nexus S I,35,1,2011,4,123.9,63,10.9,129,1,TFT,4,480,800,Android 2.3,Hummingbird,1,PowerVR SGX540,0,-,-,2,2,1500,1,Wi-Fi 802.11 b/g/n,0,0,1,1,1
Motorola ATRIX,35,1,2011,4,117.8,63.5,11,135,1,TFT,4,540,960,Android 2.2,Nvidia Tegra,2,ULP GeForce,32,16,1,2,2,1930,0,Wi-Fi 802.11 a/b/g/n,0,1,1,0,1
Samsung Galaxy S WiFi,0,0,2011,5,141.3,78.2,11.9,182,0,TFT,5,480,800,Android 2.2,-,1,-,32,-,-,1,2,2500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Samsung Galaxy Tab,0,0,2011,5,230.9,157.8,8.6,447.9,0,PLS TFT,8.9,800,1280,Android 3.0,Nvidia Tegra,2,ULP GeForce,0,16,1,1,2,6000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung I,35,1,2011,5,132,71,9,139,1,Super AMOLED,4.5,480,800,Android 2.2,-,1,-,32,-,-,2,2,1750,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung C,5,1,2011,5,109.5,56,12.2,100,2,TFT,3.2,240,400,-,-,-,-,16,-,-,0,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Motorola XOOM MZ,0,0,2011,5,249.1,167.8,12.9,730,0,TFT,10.1,800,1280,Android 3.0,Nvidia Tegra,2,ULP GeForce,32,16,1,2,2,-,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Motorola GLEAM,5,1,2011,5,106,53,13.9,105,1,TFT,2.4,240,320,-,-,-,-,16,-,-,0,2,750,0,No,1,-,-,-,-
Motorola DROID X,6,0,2011,5,127.5,65.5,9.9,155,1,TFT,4.3,540,960,Android 2.3,Nvidia Tegra,2,ULP GeForce,32,8,0.5,2,2,1540,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung P,35,1,2011,6,256.7,175.3,8.6,565,1,PLS TFT,10.1,800,1280,Android 3.1,Nvidia Tegra,2,ULP GeForce,0,16,1,2,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung Galaxy Tab,0,0,2011,7,256.7,175.3,8.6,560,0,PLS TFT,10.1,800,1280,Android 3.0,Nvidia Tegra,2,ULP GeForce,0,16,1,1,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung I,35,1,2011,7,122.4,64.2,9.9,119,1,Super AMOLED,4,480,800,Android 2.3,Qualcomm MSM8255T,1,Adre0 205,32,8,0.5,2,2,1650,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Tab,66,0,2011,7,256.7,175.3,8.6,565,1,PLS TFT,10.1,800,1280,Android 3.1,Nvidia Tegra,2,ULP GeForce,0,16,1,2,2,6800,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung E,5,0,2011,7,88,44,18.9,71,1,CSTN,1.43,128,128,-,-,-,-,0,-,-,0,0,800,0,No,0,-,-,-,-
Samsung Galaxy S II,35,1,2011,7,125.3,66.1,8.5,116,1,Super AMOLED,4.3,480,800,Android 2.3,Exy0s 4210,2,Mali 400,32,16,1,2,2,1700,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung E,5,0,2011,7,88,44,18.9,71,1,CSTN,1.43,128,128,-,-,-,-,0,-,-,0,0,800,0,No,1,-,-,-,-
Motorola DROID,210,1,2011,7,124,64,13,167,1,TFT,4,540,960,Android 2.3,TI OMAP,2,PowerVR SGX540,32,16,0.5,2,2,1540,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung S,35,1,2011,8,118.9,49.7,12.9,91,1,TFT,2.4,240,320,-,-,-,-,16,-,-,0,2,1000,0,No,1,-,-,-,-
Samsung I,35,1,2011,8,125,66,9.5,135,1,TFT,4.2,480,800,Android 2.3.3,Nvidia Tegra,2,ULP GeForce,32,8,1,2,2,1650,0,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Samsung Ch@t,5,1,2011,8,109.5,61.3,11.9,90,2,TFT,2.2,220,176,-,-,-,-,16,-,-,0,2,1000,0,No,1,-,-,-,-
Motorola Photon,210,1,2011,8,126.9,66.9,12.2,158,1,TFT,4.3,540,960,Android 2.3,Nvidia Tegra,2,ULP GeForce,32,16,1,2,2,1700,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola EX,5,1,2011,8,103,60,9.9,87,2,TFT,2.4,320,240,-,-,-,-,32,-,-,0,2,910,0,Wi-Fi 802.11 b/g,1,-,-,-,-
Samsung Galaxy S II Epic,6,0,2011,9,130,70,10,130,1,Super AMOLED,4.52,480,800,Android 2.3.4,Exy0s 4210,2,Mali 400,32,16,1,2,2,1800,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung I,30,1,2011,9,129.8,68.9,9.7,138,2,Super AMOLED,4.52,480,800,Android 2.3.5,Qualcomm MSM8660,2,Adre0 220,32,16,1,2,2,1800,0,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Sony Tablet S,0,0,2011,9,241.2,174.3,10.1,598,0,TFT,9.4,800,1280,Android 3.1,Nvidia Tegra,2,ULP GeForce,32,16,1,1,2,-,0,Wi-Fi 802.11 b/g/n,0,0,1,1,0
Sony Tablet S,35,0,2011,9,241.2,174.3,10.1,625,1,TFT,9.4,800,1280,Android 3.2,Nvidia Tegra,2,ULP GeForce,32,16,1,1,2,-,0,Wi-Fi 802.11 b/g/n,0,0,1,1,0
Motorola DEFY+,35,1,2011,9,107,59,13.4,118,1,TFT,3.7,480,854,Android 2.3,TI OMAP,1,PowerVR SGX530,32,2,0.5,2,2,1700,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola FIRE XT,35,1,2011,9,114,62,12,84.3,1,TFT,3.5,320,480,Android 2.3.4,Qualcomm MSM7227T,1,Adre0 200,32,0.5,0.5,2,2,1540,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola DROID BIONIC XT,66,0,2011,9,127.5,66.9,11,158.8,1,TFT,4.3,540,960,Android 2.3.4,TI OMAP,2,PowerVR SGX540,32,16,0.5,2,2,1735,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Motorola MILESTONE,35,1,2011,9,123.3,64.1,12.9,184,1,TFT,4,540,960,Android 2.3.4,TI OMAP,2,PowerVR SGX540,32,8,0.5,2,2,1540,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Note N,385,1,2011,10,146.9,83,9.7,178,1,Super AMOLED,5.3,800,1280,Android 2.3.5,Exy0s,2,Mali 400,64,16,1,6,2,2500,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung Galaxy Y S,35,1,2011,10,104,58,11.5,97.5,1,TFT,3,240,320,Android 2.3.5,-,1,-,32,0.17578125,0.283203125,2,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy W I,35,1,2011,10,115.5,59.8,11.5,114.7,1,TFT,3.7,480,800,Android 2.3.5,Qualcomm MSM8255T,1,Adre0 205,32,2,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung P,35,1,2011,10,193.7,122.4,9.9,345,1,PLS LCD,7,600,1024,Android 3.2,Exy0s 4210,2,Mali 400,64,16,1,2,2,4000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy Tab,35,1,2011,10,230.9,157.8,8.6,453,1,PLS TFT,8.9,800,1280,Android 3.0,Nvidia Tegra,2,ULP GeForce,0,16,1,2,2,6000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung C,5,1,2011,10,102,52,16.8,97.3,1,TFT,2.4,240,320,-,-,-,-,16,-,-,0,2,800,0,No,1,-,-,-,-
Samsung Galaxy S II T,35,1,2011,10,129.8,68.8,9.4,135,1,Super AMOLED,4.52,480,800,Android 2.3.5,Qualcomm APQ8060,2,Adre0 220,32,16,1,2,2,1850,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung S,35,1,2011,10,121.5,65.9,12,100,1,TFT,3.65,320,480,Android 2.3,-,1,-,32,0.146484375,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung S,35,1,2011,10,125.9,64.2,9.9,122,1,Super AMOLED,4,480,800,Bada 2.0,-,1,-,32,-,-,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung C,5,1,2011,10,122,53,17.9,110,1,TFT,2.2,240,320,-,-,-,-,32,-,-,0,0,1300,0,No,1,-,-,-,-
Samsung Galaxy S II I,35,1,2011,10,126,66,8.9,121.9,1,Super AMOLED,4.3,480,800,Android 2.3.4,Exy0s 4210,2,Mali 400,32,16,1,2,2,1650,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Omnia W I,35,1,2011,10,115.6,58.8,10.9,115.3,1,Super AMOLED,3.7,480,800,Windows 7.1,Qualcomm MSM8255,1,Adre0 205,0,8,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Apple iPhone,210,1,2011,10,115.2,58.6,9.3,140,1,IPS LCD,3.5,640,960,iOS 5,Apple A5,2,PowerVR SGX543,0,8,0.5,6,2,1432,0,Wi-Fi 802.11 b/g/n,0,0,1,1,1
Motorola ATRIX,35,1,2011,10,126,66,10,147,1,TFT,4.3,540,960,Android 2.3,TI OMAP,2,PowerVR SGX540,32,8,1,2,2,1785,0,Wi-Fi 802.11 a/b/g/n,1,0,1,0,1
Samsung Galaxy Nexus I,385,1,2011,11,135.5,67.9,8.9,135,1,Super AMOLED,4.65,720,1280,Android OS,TI OMAP,2,PowerVR SGX540,0,16,1,2,2,1750,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy S II LTE I,385,1,2011,11,130.9,69.9,9.4,132,1,Super AMOLED,4.5,480,800,Android 2.3,Qualcomm APQ8060,2,Adre0 220,32,16,1,2,2,1850,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy Y Pro B,35,1,2011,11,110.8,63.5,11.5,108.6,1,TFT,2.6,320,240,Android 2.3,-,1,-,32,-,-,2,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Wave Y S,35,1,2011,11,110,58.2,12.3,102.4,1,TFT,3.2,320,480,Bada 2.0,-,1,-,32,-,-,2,2,1200,Carrier dependent,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy S II Skyrocket i,385,1,2011,11,129.8,68.8,9.5,130.5,1,Super AMOLED,4.5,480,800,Android 2.3.5,Qualcomm MSM8260,2,Adre0 220,32,16,1,2,2,1850,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy Tab,385,1,2011,11,230.9,157.8,8.6,455,1,PLS TFT,8.9,800,1280,Android 3.2,-,2,-,0,16,1,2,2,6100,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung i,35,1,2011,11,124,64,13,147,1,Super AMOLED,4,480,800,Android 2.3,Nvidia Tegra,2,ULP GeForce,32,8,1,2,2,1650,0,Wi-Fi 802.11 b/g/n,0,0,1,1,1
Sony Tablet P,385,0,2011,11,180,158,14,372,1,TFT,5.5,1024,480,Android 3.2,Nvidia Tegra,2,ULP GeForce,32,4,1,1,2,3080,0,Wi-Fi 802.11 b/g/n,0,0,1,1,0
Motorola DROID RAZR XT,2310,1,2011,11,130.7,68.9,7.1,127,1,Super AMOLED,4.3,540,960,Android 2.3.5,TI OMAP,2,PowerVR SGX540,32,16,1,2,2,1780,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Motorola RAZR XT,35,1,2011,11,130.7,68.9,7.1,127,1,Super AMOLED,4.3,540,960,Android 2.3.5,TI OMAP,2,PowerVR SGX540,32,16,1,6,2,1780,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Motorola PRO+,35,1,2011,11,119.5,62,11.7,113,1,TFT,3.1,640,480,Android 2.3,-,1,-,32,4,0.5,2,2,1600,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung P,35,1,2011,12,196.7,133,7.9,340,1,Super AMOLED,7.7,800,1280,Android 3.2,Exy0s,2,Mali 400,32,16,1,2,2,5100,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy S II HD LTE,385,1,2011,12,129.8,68.8,9.5,130.5,1,Super AMOLED,4.65,720,1280,Android 2.3,Qualcomm MSM8660,2,Adre0 220,32,16,1,2,2,1850,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Honor U8860,35,1,2011,12,122,61,11,140,1,TFT,4,480,854,Android 2.3,Qualcomm MSM8255T,1,Adre0 205,32,4,0.5,2,2,1930,0,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Motorola XOOM,0,0,2011,12,253.9,173.6,8.8,599,0,IPS LCD,10.1,800,1280,Android 3.2,TI OMAP,2,PowerVR SGX540,32,16,1,2,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Motorola DROID XYBOARD,2310,1,2011,12,259.9,173.6,8.8,599,1,IPS LCD,10.1,800,1280,Android 3.2,TI OMAP,2,PowerVR SGX540,0,16,1,2,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Motorola XOOM,0,0,2011,12,216,139,9,386,0,TFT,8.2,800,1280,Android 3.2,TI OMAP,2,PowerVR SGX540,32,16,1,2,2,3960,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Motorola XOOM,35,1,2011,12,253.9,173.6,8.8,599,1,IPS LCD,10.1,800,1280,Android 3.2,TI OMAP,2,PowerVR SGX540,32,16,1,2,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung Galaxy Grand I,35,1,2012,1,143.5,76.9,9.6,162,2,TFT,5,480,800,Android 4.1.2,-,2,Broadcom VideoCore,64,8,1,6,2,2100,0,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung Galaxy Note II CDMA,2310,1,2012,1,151.1,80.5,9.4,179.4,1,Super AMOLED,5.5,720,1280,Android 4.1,Exy0s 4412,4,Mali 400,64,16,2,6,2,3100,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung E,5,0,2012,1,108,45,13.5,65.1,1,TFT,1.52,128,128,-,-,1,-,0,-,-,0,0,800,0,No,0,-,-,-,-
Samsung C,5,1,2012,1,102,55,12,100,2,TFT,2.8,240,320,Android 2.3,-,-,-,16,-,-,0,2,1000,0,No,1,0,1,0,0
Samsung Galaxy Note I,385,1,2012,1,146.8,83,9.7,178,1,Super AMOLED,5.3,800,1280,Android 2.3,Qualcomm MSM8660,2,Adre0 220,32,16,1,6,2,2500,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy Pocket plus S,35,1,2012,1,104.9,57.9,12,97.2,1,TFT,2.8,240,320,Android 4.0,-,1,-,32,4,0.5,6,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Samsung Galaxy Premier I,385,1,2012,1,134.2,68,9,130,1,Super AMOLED,4.65,720,1280,Android 4.1,TI OMAP,2,PowerVR SGX544,32,8,1,6,2,2100,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung Galaxy Player,0,0,2012,1,141.3,78.2,11.9,186,0,TFT,5,480,800,Android 2.3,-,2,-,32,-,-,1,2,2500,0,Wi-Fi 802.11 a/b/g/n,1,0,1,1,0
Samsung Galaxy Tab,2310,1,2012,1,256.6,175.3,9.7,581.2,2,PLS TFT,10.1,800,1280,Android 4.0,Qualcomm MSM8960,2,Adre0 225,64,8,1,2,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung Galaxy Nexus I,35,1,2012,1,135.5,67.9,8.9,135,1,Super AMOLED,4.65,720,1280,Android 4.0,TI OMAP,2,PowerVR SGX540,0,16,1,2,2,1750,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Manhattan E,35,1,2012,1,113.9,46.4,13.3,75.4,1,TFT,2,128,160,-,-,-,-,32,-,-,0,2,800,0,No,0,-,-,-,-
Sony Xperia acro HD SOI,70,1,2012,1,126,66,11.9,149,1,TFT,4.3,720,1280,Android 2.3,Qualcomm MSM8660,2,Adre0 220,32,11,1,6,2,1900,0,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Motorola DROID RAZR MAXX,2310,1,2012,1,130.7,68.9,9,145,1,Super AMOLED,4.3,540,960,Android 2.3.6,TI OMAP,2,PowerVR SGX540,32,8,1,6,2,3300,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Motorola RAZR M XT,385,1,2012,1,122.5,60.9,8.3,126,1,Super AMOLED,4.3,540,960,Android 4.0.4,Qualcomm MSM8960,2,Adre0 225,32,8,1,78,2,2000,1,Wi-Fi 802.11 a/b/g/n,0,0,1,0,1
Motorola Defy Mini XT,35,1,2012,1,109,58.5,13,-,2,TFT,3.2,320,480,Android 2.3.6,Qualcomm MSM7225A,1,Adre0 200,32,0.5,0.5,2,2,1650,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Ace Plus S,35,1,2012,2,114.5,62.5,11.2,115,1,TFT,3.65,320,480,Android 2.3,Qualcomm MSM7227A,1,Adre0 200,32,3,0.5,2,2,1300,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Star,5,1,2012,2,102,58,11.5,95.5,2,TFT,3,240,320,-,-,-,-,32,-,-,0,2,1000,0,Wi-Fi 802.11 b/g/n,1,-,-,-,-
