,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
117,Samsung Galaxy A,385,Yes,151.5,74.1,7.3,172,Single,AMOLED,5.5,1080,1920,Android 5.1.1,Exynos,Octa,Mali-T720MP2Adreno,256 GB,"16 GB, 3 GB RAM",Yes,microUSB 2.0,3300
118,Samsung Galaxy A,5005,Yes,144.8,71,7.3,155,Single,AMOLED,5.2,1080,1920,Android 5.1.1,Exynos,Octa,Mali-T720MP2Adreno,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,2900
119,Samsung Galaxy A,385,Yes,134.5,65.2,7.3,132,Single,AMOLED,4.7,720,1280,Android 5.1.1,Exynos,Quad,Mali-T720MP2Adreno,256 GB,"16 GB, 1.5 GB RAM",Yes,microUSB 2.0,2300
120,Samsung Galaxy Express Prime,385,Yes,142.2,71.1,7.9,138.9,Single,AMOLED,5.0,720,1280,Android 6.0,Exynos,Quad,Mali-T720,256 GB,16 GB 1.5 GB RAM,Yes,microUSB 2.0,2600
121,Samsung Galaxy J,385,Yes,142.3,71,7.9,138,Single,AMOLED,5.0,720,1280,Android 5.1.1,Spreadtrum,Quad,Mali-400Mali-T720,256 GB,"8/16 GB, 1.5/2 GB RAM",Yes,microUSB 2.0,2600
122,Samsung Galaxy View,77,Yes,451.8,275.8,11.9,2650,Single,TFT,18.4,1080,1920,Android 5.1.1,Exynos,Octa,Mali-T720MP2,256 GB,"32/64 GB, 2 GB RAM",Yes,microUSB 2.0,5700
123,Samsung Galaxy On7,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,172,Dual,TFT,5.5,720,1280,Android 5.1,Qualcomm,Quad,Adreno,256 GB,"8 GB, 1.5 GB RAM",Yes,microUSB 2.0,3000
124,Samsung Galaxy On5,385,Yes,142.3,72.1,8.5,149,Dual,TFT,5.0,720,1280,Android 5.1,Exynos,Quad,Mali-T720,256 GB,"8 GB, 1.5 GB RAM",Yes,microUSB 2.0,2600
125,Samsung Z3,35,Yes,141.6,70,7.9,137,Dual,AMOLED,5.0,720,1280,Tizen,Spreadtrum,Quad,Mali-400,128 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,2600
126,Samsung Galaxy J,385,Yes,130.1,67.6,9.5,131,Single,AMOLED,4.3,480,800,Android 4.4.4,Spreadtrum,Dual,Mali-400MP2Vivante,256 GB,"4 GB, 512 MB RAM - J110L4 GB, 768 MB RAM - J110F, J110G8 GB, 1 GB RAM - J110M, J111F",Yes,microUSB 2.0,1900
127,Samsung Gear S2 classic,0,No,43.6,39.9,11.4,42,No,AMOLED,1.2,360,360,Tizen,Dual,Dual,Mali-400MP2,No,"4 GB, 512 MB RAM",No,No,250
128,Samsung Gear S2,0,No,49.8,42.3,11.4,47,No,AMOLED,1.2,360,360,Tizen,Dual,Dual,Mali-400MP2,No,"4 GB, 512 MB RAM",No,No,250
129,Samsung Gear S2 3G,35,Yes,microUSB 2.0,microUSB 2.0,microUSB 2.0,51,Electronic SIM card (eSIM),AMOLED,1.2,360,360,Tizen,Qualcomm,Dual,-,No,"4 GB, 512 MB RAM",Yes,No,300
130,Samsung Galaxy Note5 (USA),770,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,171,Single,AMOLED,5.7,1440,2560,Android 5.1.1,Exynos,Octa,Mali-T760MP8,No,"32/64 GB, 4 GB RAM",Yes,microUSB 2.0,3000
131,Samsung Galaxy Note5,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,171,Single,AMOLED,5.7,1440,2560,Android 5.1.1,Exynos,Octa,Mali-T760MP8,No,"32/64/128 GB, 4 GB RAM",Yes,microUSB 2.0,3000
132,Samsung Galaxy Note5 Duos,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,171,Dual,AMOLED,5.7,1440,2560,Android 5.1.1,Exynos,Octa,Mali-T760MP8,No,"32/64 GB, 4 GB RAM",Yes,microUSB 2.0,3000
133,Samsung Galaxy S,770,Yes,154.4,75.8,6.9,153,Single,AMOLED,5.7,1440,2560,Android 5.1.1,Exynos,Octa,Mali-T760MP8,No,"32/64 GB, 4 GB RAM",Yes,microUSB 2.0,3000
134,Samsung Galaxy S,385,Yes,154.4,75.8,6.9,153,Single,AMOLED,5.7,1440,2560,Android 5.1.1,Exynos,Octa,Mali-T760MP8,No,"32/64 GB, 4 GB RAM",Yes,microUSB 2.0,3000
135,Samsung Galaxy S,385,Yes,154.4,75.8,6.9,153,Dual,AMOLED,5.7,1440,2560,Android 5.1.1,Exynos,Octa,Mali-T760MP8,No,"32/64 GB, 4 GB RAM",Yes,microUSB 2.0,3000
136,Samsung Galaxy S,385,Yes,142,72.5,8.1,145,Single,AMOLED,5.1,1080,1920,Android 5.1.1,Exynos,Octa,Mali-T720MP2,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,2800
137,Samsung Galaxy S,385,Yes,124.6,61.3,8.9,107,Single,AMOLED,4.3,540,960,Android 4.4.4,Qualcomm,Quad,Adreno,64 GB,"8 GB, 1.5 GB RAM",Yes,microUSB 2.0,1900
138,Samsung Galaxy Folder,385,Yes,122,60.2,15.3,155,Single,TFT,3.8,480,800,Android 5.1,-,Quad,-,256 GB,"8 GB, 1.5 GB RAM",Yes,microUSB 2.0,1800
139,Samsung Galaxy Tab S2 9.7,385,Yes,237.3,169,5.6,389,Single,AMOLED,9.7,1536,2048,Android 5.0.2,Exynos,Octa,Mali-T760,256 GB,"32/64 GB, 3 GB RAM",Yes,microUSB 2.0,5870
140,Samsung Galaxy Tab S2 8.0,385,Yes,198.6,134.8,5.6,265,Single,AMOLED,8.0,1536,2048,Android 5.0.2,Exynos,Octa,Mali-T760,256 GB,"32/64 GB, 3 GB RAM",Yes,microUSB 2.0,4000
141,Samsung Galaxy A,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,151,Dual,AMOLED,5.7,1080,1920,Android 5.1,Qualcomm,Octa,Adreno,256 GB,"32 GB, 2 GB RAM",Yes,microUSB 2.0,3050
142,Samsung Galaxy A,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,151,Single,AMOLED,5.7,1080,1920,Android 5.1.1,Qualcomm,Octa,Adreno,256 GB,"32 GB, 2 GB RAM",Yes,microUSB 2.0,3050
143,Samsung Galaxy V Plus,35,Yes,121.4,62.9,10.7,123,Dual,TFT,4.0,480,800,Android 4.4.2,-,Dual,-,64 GB,"4 GB, 512 MB RAM",Yes,microUSB 2.0,1500
144,Samsung Galaxy J,385,Yes,152.2,78.7,7.5,171,Single,AMOLED,5.5,720,1280,Android 5.1,Qualcomm,Octa,Adreno,256 GB,"16 GB, 1.5 GB RAM",Yes,microUSB 2.0,3000
145,Samsung Galaxy J,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,170,Dual,AMOLED,5.5,720,1280,Android 7.0,Exynos,Octa,Mali-T830,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,3000
146,Samsung Galaxy J,385,Yes,142.1,71.8,7.9,146,Single,AMOLED,5.0,720,1280,Android 5.1,Qualcomm,Quad,Adreno,256 GB,"8/16 GB, 1.5 GB RAM",Yes,microUSB 2.0,2600
147,Samsung Galaxy Tab 4 10.1 (2015),0,No,243.4,176.4,7.9,487,No,TFT,10.1,1280,800,Android 4.4.4,Qualcomm,Quad,Adreno,64 GB,"16 GB, 1.5 GB RAM",Yes,microUSB 2.0,6800
148,Samsung Galaxy Tab E 9.6,35,Yes,241.9,149.5,8.5,490,Single,TFT,9.6,800,1280,Android 4.4,-,Quad,-,256 GB,"8/16 GB, 1.5 GB RAM",Yes,microUSB 2.0,5000
149,Samsung Guru Plus ,5,No,108,45,13.2,66,Dual,TFT,1.5,128,128,-,-,208 MHz,-,No,4 MB RAM,No,microUSB 2.0,800
150,Samsung Metro 360,5,Yes,117.3,49.5,11.4,83,Dual,TFT,2.4,240,320,-,-,312 MHz,-,16 GB,64 MB RAM,No,microUSB 2.0,1000
151,Samsung Xcover 550,35,Yes,129,56.2,14,124,Single,TFT,2.4,240,320,-,Spreadtrum,Dual,-,16 GB,"256 MB, 128 MB RAM",To be confirmed,microUSB 2.0,1300
152,Samsung Galaxy S,385,Yes,146.8,73.4,8.6,170,Single,AMOLED,5.1,1440,2560,Android 5.0.2,Exynos,Octa,Mali-T760MP8,No,"32/64 GB, 3 GB RAM",Yes,microUSB 2.0,3500
153,Samsung Galaxy Tab 3 V,35,Yes,193.4,116.4,9.7,322,Single,TFT,7.0,600,1024,Android 4.4,-,Quad,-,32 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,3600
154,Samsung Galaxy Tab A 9.7 & S Pen,385,Yes,242.5,166.8,7.5,490,Single,TFT,9.7,768,1024,Android 5.0,-,Quad,-,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,6000
155,Samsung Galaxy Tab A 9.7,385,Yes,242.5,166.8,7.5,450,Single,TFT,9.7,768,1024,Android 5.0,-,Quad,-,256 GB,"16 GB, 1.5 GB RAM (Wi-Fi)16/32 GB, 2 GB RAM (LTE)",Yes,microUSB 2.0,6000
156,Samsung Galaxy Tab A 8.0 & S Pen,385,Yes,208.4,137.9,7.5,338,Single,TFT,8.0,768,1024,Android 5.0,-,Quad,-,256 GB,"16 GB, 2 GB RAM",Yes,microUSB 2.0,4200
157,Samsung Galaxy Tab A 8.0,385,Yes,208.3,137.9,7.4,313,Single,TFT,8.0,768,1024,Android 5.0,-,Quad,-,256 GB,"16 GB, 1.5 GB RAM (Wi-Fi)32 GB, 2 GB RAM (LTE)",Yes,microUSB 2.0,4200
158,Samsung Galaxy Xcover 3,385,Yes,132.9,70.1,10,154,Single,TFT,4.5,480,800,Android 4.4.4,Marvell,Quad,Vivante,256 GB,"8 GB, 1.5 GB RAM",Yes,microUSB 2.0,2200
159,Samsung Galaxy S,2310,Yes,142,70.1,7.1,132,Single,AMOLED,5.1,1440,2560,Android 5.0.2,Exynos,Octa,Mali-T760MP8,No,"32/64/128 GB, 3 GB RAM",Yes,microUSB 2.0,2600
160,Samsung Galaxy S,2310,Yes,143.5,70.6,6.9,140,Single,AMOLED,5.1,1440,2560,Android 5.0.2,Exynos,Octa,Mali-T760MP8,No,"32/64/128 GB, 3 GB RAM",Yes,microUSB 2.0,2550
161,Samsung Galaxy S,385,Yes,142.1,70.1,7,132,Single,AMOLED,5.1,1440,2560,Android 5.0.2,Exynos,Octa,Mali-T760MP8,No,"32/64/128 GB, 3 GB RAM",Yes,microUSB 2.0,2600
162,Samsung Galaxy S,385,Yes,-,-,-,-,Single,AMOLED,5.5,1080,1920,Android 5.0.2,Exynos,Octa,Mali-T760MP8,To be confirmed,"32 GB, 4 GB RAM",Yes,microUSB 2.0,3000
163,Samsung Galaxy S,385,Yes,143.4,70.5,6.8,138,Dual,AMOLED,5.1,1440,2560,Android 5.0.2,Exynos,Octa,Mali-T760MP8,No,"32/64/128 GB, 3 GB RAM",Yes,microUSB 2.0,2550
164,Samsung Galaxy S,385,Yes,143.4,70.5,6.8,138,Single,AMOLED,5.1,1440,2560,Android 5.0.2,Exynos,Octa,Mali-T760MP8,No,"32/64/128 GB, 3 GB RAM",Yes,microUSB 2.0,2550
165,Samsung Galaxy J,385,Yes,129,68.2,8.9,122,Single,TFT,4.3,480,800,Android 4.4.4,-,Quad,-,256 GB,"4 GB, 768 MB RAM",Yes,microUSB 2.0,1850
166,Samsung Galaxy J,35,Yes,129,68.2,8.9,122,Single,TFT,4.3,480,800,Android 4.4.4,Spreadtrum,Dual,Mali-400,256 GB,"4 GB, 512 MB RAM",Yes,microUSB 2.0,1850
167,Samsung Galaxy J,385,Yes,136.5,69,8.4,129,Single,AMOLED,4.7,540,960,Android 5.1.1,Exynos,Quad,Mali-T720,256 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,2000
168,Samsung Galaxy Tab 3 Lite 7.0 VE,0,No,193.4,116.4,9.7,310,No,TFT,7.0,600,1024,Android 4.4.4,Spreadtrum,Quad,Mali-400MP,32 GB,"8 GB, 1 GB RAM",Yes,microUSB 2.0,3600
169,Samsung Z1,35,Yes,120.4,63.2,9.7,112,Dual,TFT,4.0,480,800,Tizen,Spreadtrum,Dual,Mali-400,64 GB,"4 GB, 768 MB RAM",Yes,microUSB 2.0,1500
170,Apple iPad Air (2019),385,Yes,250.6,174.1,6.1,456,Single,LCD,10.5,1668,2224,iOS 12.1.3,Apple,Hexa,Apple,No,"64/256 GB, 3 GB RAM",Yes,microUSB 2.0,8600
171,Apple iPad mini (2019),385,Yes,203.2,134.8,6.1,300.5,Single,LCD,7.9,1536,2048,iOS 12.1.3,Apple,Hexa,Apple,No,"64/256 GB, 3 GB RAM",Yes,microUSB 2.0,5124
172,Apple iPad Pro 12.9 (2018),2310,Yes,280.6,214.9,5.9,631,Single,LCD,12.9,2048,2732,iOS 12,Apple,Octa,Apple,No,"1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM",Yes,Type-C,9720
173,Apple iPad Pro 11,2310,Yes,247.6,178.5,5.9,468,Single,LCD,11.0,1668,2388,iOS 12,Apple,Octa,Apple,No,"1 TB, 6 GB RAM or 64/256/512 GB, 4 GB RAM",Yes,Type-C,7812
174,Apple iPhone XS Max,2310,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,208,Single,"OLED capacitive touchscreen, 16M colors",6.5,1242,2688,iOS 12,Apple,Hexa,Apple,No,"64/256/512 GB, 4 GB RAM",Yes,microUSB 2.0,3174
175,Apple iPhone XS,2310,Yes,143.6,70.9,7.7,177,Single,"OLED capacitive touchscreen, 16M colors",5.8,1125,2436,iOS 12,Apple,Hexa,Apple,No,"64/256/512 GB, 4 GB RAM",Yes,microUSB 2.0,2658
176,Apple iPhone XR,2310,Yes,150.9,75.7,8.3,194,Single,LCD,6.1,828,1792,iOS 12,Apple,Hexa,Apple,No,"64/128/256 GB, 3 GB RAM",Yes,microUSB 2.0,2942
177,Apple Watch Series 4,385,Yes,44,38,10.7,48,Electronic SIM card (eSIM),"LTPO OLED capacitive touchscreen, 16M colors",1.78,448,368,watchOS 5.0,Apple,Dual,PowerVR,No,16 GB,Yes,No,battery
178,Apple Watch Series 4 Aluminum,385,Yes,44,38,10.7,36.7,Electronic SIM card (eSIM),"LTPO OLED capacitive touchscreen, 16M colors",1.78,448,368,watchOS 5.0,Apple,Dual,PowerVR,No,16 GB,Yes,No,battery
179,Apple iPad 9.7 (2018),2310,Yes,240,169.5,7.5,469,Single,LCD,9.7,1536,2048,iOS 11.3,Apple,Quad,PowerVR,No,"32/128 GB, 2 GB RAM",Yes,microUSB 2.0,7306
180,Apple iPhone X,385,Yes,143.6,70.9,7.7,174,Single,"OLED capacitive touchscreen, 16M colors",5.8,1125,2436,iOS 11.1.1,Apple,Hexa,Apple,No,"64/256 GB, 3 GB RAM",Yes,microUSB 2.0,2716
181,Apple iPhone 8 Plus,385,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,202,Single,LCD,5.5,1080,1920,iOS 11,Apple,Hexa,Apple,No,"64/256 GB, 3 GB RAM",Yes,microUSB 2.0,2691
182,Apple iPhone 8,385,Yes,138.4,67.3,7.3,148,Single,LCD,4.7,750,1334,iOS 11,Apple,Hexa,Apple,No,"64/256 GB, 2 GB RAM",Yes,microUSB 2.0,1821
183,Apple Watch Edition Series 3,385,Yes,42.6,36.5,11.4,46.4,Electronic SIM card (eSIM),"OLED capacitive touchscreen, 16M colors",1.65,390,312,watchOS 4.0,Apple,Dual,PowerVR,No,"16 GB, 768 MB RAM (to be confirmed)",Yes,No,279
184,Apple Watch Series 3,385,Yes,42.5,36.4,11.4,52.8,Electronic SIM card (eSIM),"OLED capacitive touchscreen, 16M colors",1.65,390,312,watchOS 4.0,Apple,Dual,PowerVR,No,"16 GB, 768 MB RAM (to be confirmed)",Yes,No,279
185,Apple Watch Series 3 Aluminum,385,Yes,42.5,36.4,11.4,34.9,Electronic SIM card (eSIM),"OLED capacitive touchscreen, 16M colors",1.65,390,312,watchOS 4.0,Apple,Dual,PowerVR,No,"8/16 GB, 768 MB RAM (to be confirmed)",Yes,No,279
186,Apple iPad Pro 12.9 (2017),2310,Yes,microUSB 2.0,microUSB 2.0,microUSB 2.0,677,Single,LCD,12.9,2732,2048,iOS 10.3.2,Apple,-,-,No,"64/256/512 GB, 4GB RAM",Yes,microUSB 3.0,"10,891"
187,Apple iPad Pro 10.5 (2017),2310,Yes,250.6,174.1,6.1,469,Single,LCD,10.5,1668,2224,iOS 10.3.2,Apple,-,-,No,"64/256/512 GB, 4GB RAM",Yes,microUSB 3.0,8134
188,Apple iPad 9.7 (2017),2310,Yes,240,169.5,7.5,469,Single,LCD,9.7,1536,2048,iOS 10.3,Apple,Dual,PowerVR,No,"32/128 GB, 2 GB RAM",Yes,microUSB 2.0,8827
189,Apple Watch Edition Series 2 42mm,0,No,42.6,36.5,11.4,45.6,No,"OLED capacitive touchscreen, 16M colors",1.65,390,312,microUSB 3.0,Apple,Dual,PowerVR,No,"8 GB, 512 MB RAM",Yes,No,334
190,Apple Watch Edition Series 2 38mm,0,No,39.2,34,11.8,39.6,No,"OLED capacitive touchscreen, 16M colors",1.5,340,272,microUSB 3.0,Apple,Dual,PowerVR,No,"8 GB, 512 MB RAM",Yes,No,273
191,Apple Watch Series 2 42mm,0,No,42.5,36.4,11.4,52.4,No,"OLED capacitive touchscreen, 16M colors",1.65,390,312,microUSB 3.0,Apple,Dual,PowerVR,No,"8 GB, 512 MB RAM",Yes,No,334
192,Apple Watch Series 2 38mm,0,No,38.6,33.3,11.4,41.9,No,"OLED capacitive touchscreen, 16M colors",1.5,340,272,microUSB 3.0,Apple,Dual,PowerVR,No,"8 GB, 512 MB RAM",Yes,No,273
193,Apple Watch Series 2 Aluminum 42mm,0,No,42.5,36.4,11.4,34.2,No,"OLED capacitive touchscreen, 16M colors",1.65,390,312,microUSB 3.0,Apple,Dual,PowerVR,No,"8 GB, 512 MB RAM",Yes,No,334
194,Apple Watch Series 1 Aluminum 42mm,0,No,42.5,36.4,10.5,30,No,"OLED capacitive touchscreen, 16M colors",1.65,390,312,microUSB 3.0,Apple,Dual,PowerVR,No,"8 GB, 512 MB RAM",No,No,250
195,Apple Watch Series 2 Aluminum 38mm,0,No,38.6,33.3,11.4,28.2,No,"OLED capacitive touchscreen, 16M colors",1.5,340,272,microUSB 3.0,Apple,Dual,PowerVR,No,"8 GB, 512 MB RAM",Yes,No,273
196,Apple Watch Series 1 Aluminum 38mm,0,No,38.6,33.3,10.5,25,No,"OLED capacitive touchscreen, 16M colors",1.5,340,272,microUSB 3.0,Apple,Dual,PowerVR,No,"8 GB, 512 MB RAM",No,No,205
197,Apple iPhone 7 Plus,2310,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,188,Single,LCD,5.5,1080,1920,iOS 10.0.1,Apple,Quad,PowerVR,No,"32/128/256 GB, 3 GB RAM",Yes,microUSB 2.0,2900
198,Apple iPhone 7,2310,Yes,138.3,67.1,7.1,138,Single,LCD,4.7,750,1334,iOS 10.0.1,Apple,Quad,PowerVR,No,"32/128/256 GB, 2 GB RAM",Yes,microUSB 2.0,1960
199,Apple iPad Pro 9.7 (2016),2310,Yes,240,169.5,6.1,437,Single,LCD,9.7,1536,2048,iOS 9.3.2,Apple,Dual,PowerVR,No,"32/128/256 GB, 2 GB RAM",Yes,microUSB 2.0,7306
200,Apple iPhone SE,2310,Yes,123.8,58.6,7.6,113,Single,LCD,4.0,640,1136,iOS 9.3.2,Apple,Dual,PowerVR,No,"16/32/64/128 GB, 2 GB RAM",Yes,microUSB 2.0,1624
201,Apple iPhone 6s Plus,2310,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,192,Single,LCD,5.5,1080,1920,iOS 9,Apple,Dual,PowerVR,No,"16/32/64/128 GB, 2 GB RAM",Yes,microUSB 2.0,2750
202,Apple iPhone 6s,2310,Yes,138.3,67.1,7.1,143,Single,LCD,4.7,750,1334,iOS 9,Apple,Dual,PowerVR,No,"16/32/64/128 GB, 2 GB RAM",Yes,microUSB 2.0,1715
203,Apple iPad Pro 12.9 (2015),2310,Yes,microUSB 2.0,microUSB 2.0,microUSB 2.0,713,Single,LCD,12.9,2048,2732,iOS 9,Apple,Dual,PowerVR,No,"32/128/256 GB, 4 GB RAM",Yes,microUSB 3.0,"10,307"
204,Apple iPad mini 4,2310,Yes,203.2,134.8,6.1,299,Single,LCD,7.9,1536,2048,iOS 9,Apple,Dual,PowerVR,No,"16/32/64/128 GB, 2 GB RAM",Yes,microUSB 2.0,5124
205,Apple Watch Edition 42mm (1st gen),0,No,42,35.9,10.5,69,No,"OLED capacitive touchscreen, 16M colors",1.65,390,312,watchOS 1.0,Apple,Cortex,PowerVR,No,"8 GB, 512 MB RAM",No,No,250
206,Apple Watch Edition 38mm (1st gen),0,No,38.6,33.3,10.5,55,No,"OLED capacitive touchscreen, 16M colors",1.5,340,272,watchOS 1.0,Apple,Cortex,PowerVR,No,"8 GB, 512 MB RAM",No,No,205
207,Apple Watch 42mm (1st gen),0,No,42,35.9,10.5,50,No,"OLED capacitive touchscreen, 16M colors",1.65,390,312,watchOS 1.0,Apple,Cortex,PowerVR,No,"8 GB, 512 MB RAM",No,No,250
208,Apple Watch 38mm (1st gen),0,No,38.6,33.3,10.5,40,No,"OLED capacitive touchscreen, 16M colors",1.5,340,272,watchOS 1.0,Apple,Cortex,PowerVR,No,"8 GB, 512 MB RAM",No,No,205
209,Apple Watch Sport 42mm (1st gen),0,No,42,35.9,10.5,30,No,"OLED capacitive touchscreen, 16M colors",1.65,390,312,watchOS 1.0,Apple,Cortex,PowerVR,No,"8 GB, 512 MB RAM",No,No,250
210,Apple Watch Sport 38mm (1st gen),0,No,38.6,33.3,10.5,25,No,"OLED capacitive touchscreen, 16M colors",1.5,340,272,watchOS 1.0,Apple,Cortex,PowerVR,No,"8 GB, 512 MB RAM",No,No,205
211,Apple iPad Air 2,2310,Yes,240,169.5,6.1,437,Single,LCD,9.7,1536,2048,iOS 8.1,Apple,Triple,PowerVR,No,"16/32/64/128 GB, 2 GB RAM",Yes,microUSB 2.0,7340
212,Apple iPad mini 3,2310,Yes,200,134.7,7.5,331,Single,LCD,7.9,1536,2048,iOS 8.1,Apple,Dual,PowerVR,No,"16/64/128 GB, 1 GB RAM DDR3",Yes,microUSB 2.0,6470
213,Apple iPhone 6 Plus,2310,Yes,microUSB 3.0,microUSB 3.0,microUSB 3.0,172,Single,LCD,5.5,1080,1920,iOS 8,Apple,Dual,PowerVR,No,"16/64/128 GB, 1 GB RAM DDR3",Yes,microUSB 2.0,2915
214,Apple iPhone 6,2310,Yes,138.1,67,6.9,129,Single,LCD,4.7,750,1334,iOS 8,Apple,Dual,PowerVR,No,"16/32/64/128 GB, 1 GB RAM DDR3",Yes,microUSB 2.0,1810
215,Apple iPad Air,2310,Yes,240,169.5,7.5,469,Single,LCD,9.7,1536,2048,iOS 7,Apple,Dual,PowerVR,No,"16/32/64/128 GB, 1 GB RAM DDR3",Yes,microUSB 2.0,8600
216,Apple iPad mini 2,2310,Yes,200,134.7,7.5,331,Single,LCD,7.9,1536,2048,iOS 7,Apple,Dual,PowerVR,No,"16/32/64/128 GB, 1 GB RAM DDR3",Yes,microUSB 2.0,6470
217,Apple iPhone 5s,2310,Yes,123.8,58.6,7.6,112,Single,LCD,4.0,640,1136,iOS 7,Apple,Dual,PowerVR,No,"16/32/64 GB, 1 GB RAM DDR3",Yes,microUSB 2.0,1560
218,Apple iPhone 5c,770,Yes,124.4,59.2,9,132,Single,LCD,4.0,640,1136,iOS 7,Apple,Dual,PowerVR,No,"8/16/32 GB, 1 GB RAM",Yes,microUSB 2.0,1510
219,Apple iPad mini Wi-Fi,0,No,200,134.7,7.2,308,No,LCD,7.9,768,1024,iOS 6,Apple,Dual,PowerVR,No,"16/32/64 GB, 512 MB RAM",No,microUSB 2.0,4490
220,Apple iPad mini Wi-Fi + Cellular,770,Yes,200,134.7,7.2,312,Single,LCD,7.9,768,1024,iOS 6,Apple,Dual,PowerVR,No,"16/32/64 GB, 512 MB RAM",Yes,microUSB 2.0,4490
221,Apple iPad 4 Wi-Fi,0,No,241.2,185.7,9.4,652,No,LCD,9.7,1536,2048,iOS 6,Apple,Dual,PowerVR,No,"16/32/64/128 GB, 1 GB RAM",No,microUSB 2.0,11560
222,Apple iPad 4 Wi-Fi + Cellular,2310,Yes,241.2,185.7,9.4,662,Single,LCD,9.7,1536,2048,iOS 6,Apple,Dual,PowerVR,No,"16/32/64/128 GB, 1 GB RAM",Yes,microUSB 2.0,11560
223,Apple iPhone 5,2310,Yes,123.8,58.6,7.6,112,Single,LCD,4.0,640,1136,iOS 6,Apple,Dual,PowerVR,No,"16/32/64 GB, 1 GB RAM DDR2",Yes,microUSB 2.0,1440
224,Apple iPad 3 Wi-Fi + Cellular,2310,Yes,241.2,185.7,9.4,662,Single,LCD,9.7,1536,2048,iOS 5.1,Apple,Dual,PowerVR,No,"16/32/64 GB, 1 GB RAM",Yes,microUSB 2.0,11560
225,Apple iPad 3 Wi-Fi,0,No,241.2,185.7,9.4,652,No,LCD,9.7,1536,2048,iOS 5.1,Apple,Dual,PowerVR,No,"16/32/64 GB, 1 GB RAM",No,microUSB 2.0,11560
226,Apple iPhone 4s,210,Yes,115.2,58.6,9.3,140,Single,LCD,3.5,640,960,iOS 5,Apple,Dual,PowerVR,No,"8/16/32/64 GB, 512 MB RAM",Yes,microUSB 2.0,1432
227,Apple iPad 2 Wi-Fi + 3G,35,Yes,241.2,185.7,8.8,607,Single,LCD,9.7,768,1024,iOS 4,Apple,Dual,PowerVR,No,"16/32/64 GB, 512 MB RAM",Yes,microUSB 2.0,6930
228,Apple iPad 2 Wi-Fi,0,No,241.2,185.7,8.8,601,No,LCD,9.7,768,1024,iOS 4,Apple,Dual,PowerVR,No,"16/32/64 GB, 512 MB RAM",No,microUSB 2.0,6930
229,Apple iPad 2 CDMA,6,No,241.2,185.7,8.8,607,Single,LCD,9.7,768,1024,iOS 4,Apple,Dual,PowerVR,No,"16/32/64 GB, 512 MB RAM",Yes,microUSB 2.0,6930
230,Apple iPhone 4,35,Class 10,115.2,58.6,9.3,137,Single,LCD,3.5,640,960,iOS 4,Apple,Cortex,PowerVR,No,"8/16/32 GB, 512 MB RAM",Yes,microUSB 2.0,1420
231,Apple iPhone 4 CDMA,6,No,115.2,58.6,9.3,137,Single,LCD,3.5,640,960,iOS 4,Apple,Cortex,PowerVR,No,"16/32 GB, 512 MB RAM",Yes,microUSB 2.0,1420
232,Apple iPad Wi-Fi + 3G,35,Yes,242.8,189.7,13.4,730,Single,LCD,9.7,768,1024,iOS 4,Apple,Cortex,PowerVR,No,"16/32/64 GB, 256 MB RAM",Yes,microUSB 2.0,6600
233,Apple iPad Wi-Fi,0,No,242.8,189.7,13.4,680,No,LCD,9.7,768,1024,iOS 4,Apple,Cortex,PowerVR,No,"16/32/64 GB, 256 MB RAM",No,microUSB 2.0,6600
234,Apple iPhone 3GS,35,Yes,115.5,62.1,12.3,135,Single,TFT,3.5,320,480,iOS 3,-,Cortex,PowerVR,No,"8/16/32 GB, 256 MB RAM",Yes,microUSB 2.0,battery
235,Apple iPhone 3G,35,Yes,115.5,62.1,12.3,133,Single,TFT,3.5,320,480,iOS,-,ARM,PowerVR,No,"8/16 GB, 128 MB RAM",Yes,microUSB 2.0,battery
236,Apple iPhone,5,Yes,115,61,11.6,135,Single,TFT,3.5,320,480,iOS,-,ARM,PowerVR,No,4/8/16 GB,No,microUSB 2.0,battery
